Назва банку,Статутний капітал ,Емісійні різниці ,Незареєстровані внески до статутного капіталу,Нерозподілений прибуток (непокритий збиток),Резервні та інші фонди банку,Резерви переоцінки,Усього власного капіталу ,Усього зобов'язань та власного капіталу
ПРИВАТБАНК,16352079,19709,0,1926082,1326567,687184,20311621,214490857
ОЩАДБАНК,15829632,0,1399944,1400743,157187,1668005,20455511,103568090
УКРЕКСІМБАНК,16514051,0,0,401901,151203,1016120,18083276,94349057
ДЕЛЬТА БАНК,2327000,0,0,302701,665497,30146,3325344,55298418
РАЙФФАЙЗЕН БАНК АВАЛЬ,3002775,3033306,0,-88032,280318,1008371,7236738,43460101
УКРСОЦБАНК,1813727,1658101,653508,125957,2332221,2084224,8667738,43056668
ПРОМІНВЕСТБАНК,8199297,5300,0,-4918305,0,2097898,5384190,39737492
СБЕРБАНК РОСІЇ,3392461,270558,0,-905880,768862,140785,3666785,35094686
ПЕРШИЙ УКР.МІЖНАРОДНИЙ БАНК,3294492,101660,0,-93018,663481,685685,4652300,33207416
"""НАДРА""",3890363,638910,0,-686531,201,189358,4032299,31115869
АЛЬФА-БАНК,4639121,6,0,-903631,280934,182326,4198756,29293387
БАНК ФІНАНСИ ТА КРЕДИТ,2300000,0,15000,-243907,0,37528,2108622,25722051
ВТБ БАНК,5415784,0,0,-2376070,15791,151439,3206944,25285690
УКРСИББАНК,1774333,811260,0,24976,33009,6696,2650275,24111742
УКРГАЗБАНК ,9662758,135942,0,-5610175,125616,208341,4522482,23793944
БРОКБІЗНЕСБАНК,2524140,0,11561693,-40501,58712,373711,14477755,28914109
ВIEЙБI БАНК,3048619,430119,200000,-1657506,16129,64507,2101868,21061120
ОТП БАНК,2868191,2754,0,117293,395063,-23900,3359401,18722348
КРЕДІ АГРІКОЛЬ БАНК,1222929,0,0,181394,261341,0,1665664,14142893
"""ФІНАНСОВА ІНІЦІАТИВА""",1850000,0,150000,1147,58961,0,2060108,13025002
ФІДОБАНК,2316189,1390002,0,-1513530,8388,321011,2522060,11425092
"""ПІВДЕННИЙ""",956894,335564,0,147813,130516,119941,1690729,11239399
